,image,num_nuclei,num_chromosomes,num_ecDNA,context_message
89,1162.tif,1,0,0,"['{\n""ecDNA_count"": 0\n}', '{\n  ""count"": 1\n}', '{\n  ""ecDNA"": 2\n}']"
90,1169.tif,0,11,22,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 2\n}', '{\n""ecDNA"": 0\n}']"
91,117.tif,0,8,33,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{\n""ecDNA_count"": 0\n}']"
92,1170.tif,0,13,20,"['{""ecDNA"": 2}', '{\n  ""count"": 10\n}', '{\n  ""ecDNA"": 0\n}']"
93,1173.tif,0,14,15,"['{\n""ecDNA"": 0\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
94,1174.tif,0,19,27,"['{\n  ""ecDNA_count"": 3\n}', '{\n  ""ecDNA_count"": 2\n}', '{\n  ""ecDNA_count"": 3\n}']"
95,1179.tif,1,0,0,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}']"
96,118.tif,0,3,72,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA_count"": 3\n}', '{\n  ""ecDNA"": 3\n}']"
97,1180.tif,1,0,0,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
98,1181.tif,1,0,0,"['{\n""ecDNA_count"": 10\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA_count"": 2\n}']"
99,1188.tif,3,0,12,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}']"
100,1189.tif,1,3,10,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA_count"": 0\n}', '{""ecDNA"": 0}']"
101,119.tif,15,0,2,"['{\n  ""ecDNA_count"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{""ecDNA"": 0}']"
102,1190.tif,0,9,12,"['{\n  ""ecDNA_count"": 0\n}', '{\n  ""count"": 1\n}', '{\n  ""ecDNA"": 2\n}']"
103,1192.tif,1,0,8,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 2\n}']"
104,1193.tif,1,8,37,"['{\n  ""ecDNA_count"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{\n""ecDNA"": 3\n}']"
105,1194.tif,0,20,35,"['{\n  ""ecDNA"": 3\n}', '{\n  ""count"": 2\n}', '{\n  ""ecDNA"": 3\n}']"
106,1197.tif,1,0,24,"['{\n  ""ecDNA_count"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}']"
107,1198.tif,1,1,26,"['{\n  ""ecDNA_count"": 2\n}', '{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 2\n}']"
108,12.tif,1,2,3,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
109,1209.tif,0,8,0,"['{""ecDNA_count"": 3}', '{\n  ""ecDNA"": 0\n}', '{\n""ecDNA"": 0\n}']"
110,1210.tif,0,28,4,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA_count"": 0\n}']"
111,1213.tif,0,8,1,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
112,1214.tif,0,36,9,"['{\n  ""ecDNA"": 5\n}', '{\n  ""count"": 2\n}', '{\n  ""ecDNA"": 0\n}']"
113,1225.tif,0,2,0,"['{\n  ""ecDNA"": 0\n}', '{\n  ""count"": 2\n}', '{\n  ""ecDNA_count"": 10\n}']"
114,1226.tif,1,4,2,"['{\n  ""ecDNA"": 3\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA_count"": 2\n}']"
115,1227.tif,0,1,0,"['{\n  ""ecDNA_count"": 2\n}', '{\n  ""count"": 10\n}', '{\n  ""ecDNA"": 2\n}']"
116,1228.tif,0,2,0,"['{""ecDNA"": 0}', '{\n  ""ecDNA_count"": 0\n}', '{\n""ecDNA"": 0\n}']"
117,1229.tif,0,27,2,"['{\n  ""ecDNA"": 2\n}', '{\n  ""count"": 3\n}', '{\n  ""ecDNA"": 1\n}']"
118,1230.tif,1,15,1,"['{\n  ""ecDNA"": 5\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
119,1233.tif,0,14,4,"['{""ecDNA"": 3}', '{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA_count"": 0\n}']"
120,1234.tif,0,19,4,"['{""ecDNA"": 3}', '{\n  ""count"": 0\n}', '{""ecDNA"": 2}']"
121,1235.tif,1,0,0,"['{""ecDNA"": 0}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
122,1239.tif,1,1,0,"['{""ecDNA_count"": 1}', '{\n  ""count"": 3\n}', '{\n  ""ecDNA"": 1\n}']"
123,1248.tif,0,3,0,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA_count"": 0\n}']"
124,1249.tif,0,22,8,"['{\n  ""ecDNA_count"": 10\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA_count"": 0\n}']"
125,1250.tif,1,8,3,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA_count"": 0\n}']"
126,1253.tif,0,22,8,"['{\n  ""ecDNA"": 0\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
127,1254.tif,0,7,5,"['{""ecDNA_count"": 2}', '{\n  ""ecDNA"": 0\n}', '{\n""ecDNA"": 0\n}']"
128,1261.tif,1,0,0,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA_count"": 2\n}']"
129,1262.tif,1,0,0,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 1\n}', '{\n  ""ecDNA"": 2\n}']"
130,1266.tif,1,1,0,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}', '{""ecDNA"": 2}']"
131,1267.tif,1,0,0,"['{\n""ecDNA"": 5\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
132,1269.tif,0,24,11,"['{\n  ""ecDNA"": 5\n}', '{\n  ""count"": 2\n}', '{\n  ""ecDNA_count"": 0\n}']"
133,1270.tif,1,28,13,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
134,1271.tif,1,0,0,"['{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA_count"": 0\n}', '{""ecDNA_count"": 0}']"
135,1273.tif,0,17,15,"['{\n""ecDNA"": 2\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
136,1274.tif,0,27,6,"['{\n  ""ecDNA"": 3\n}', '{\n  ""count"": 10\n}', '{\n""ecDNA"": 2\n}']"
137,1289.tif,0,16,12,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
138,129.tif,0,14,20,"['{\n  ""ecDNA_count"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{""ecDNA"": 2}']"
139,1290.tif,0,13,21,"['{\n  ""ecDNA_count"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{""ecDNA"": 2}']"
140,1293.tif,0,22,13,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
141,1294.tif,0,15,15,"['{""ecDNA_count"":2}', '{\n  ""ecDNA_count"": 0\n}', '{\n""ecDNA_count"": 2\n}']"
142,1297.tif,1,0,0,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n""ecDNA"": 0\n}']"
143,13.tif,1,32,0,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 3\n}']"
144,130.tif,0,18,34,"['{\n  ""ecDNA"": 2\n}', '{\n  ""count"": 3\n}', '{\n  ""ecDNA"": 2\n}']"
145,1300.tif,2,0,0,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA_count"": 1\n}']"
146,1301.tif,1,1,0,"['{\n  ""ecDNA"": 5\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
147,1302.tif,1,0,1,"['{\n""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 0\n}', '{""ecDNA"": 2}']"
148,1303.tif,1,0,1,"['{\n  ""ecDNA_count"": 10\n}', '{\n  ""ecDNA_count"": 1\n}', '{\n  ""ecDNA_count"": 2\n}']"
149,1304.tif,3,0,1,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA_count"": 0\n}']"
150,1305.tif,1,4,23,"['{\n  ""ecDNA"": 5\n}', '{\n  ""ecDNA"": 0\n}', '{""ecDNA"": 1}']"
151,1306.tif,1,0,6,"['{\n""ecDNA"": 0\n}', '{\n  ""count"": 3\n}', '{\n  ""ecDNA_count"": 1\n}']"
152,1308.tif,1,0,7,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 1\n}']"
153,1309.tif,1,8,16,"['{\n  ""ecDNA_count"": 0\n}', '{\n  ""count"": 0\n}', '{\n""ecDNA"": 2\n}']"
154,131.tif,0,5,17,"['{\n""ecDNA_count"": 2\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
155,1310.tif,0,11,20,"['{\n  ""ecDNA"": 0\n}', '{\n  ""count"": 3\n}', '{\n""ecDNA_count"": 2\n}']"
156,1313.tif,0,20,20,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 1\n}']"
157,1314.tif,0,16,19,"['{""ecDNA"": 4}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
158,1320.tif,1,0,2,"['{\n  ""ecDNA"": 5\n}', '{\n  ""count"": 1\n}', '{\n""ecDNA"": 3\n}']"
159,1325.tif,0,3,4,"['{""ecDNA"": 0}', '{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 3\n}']"
160,1326.tif,1,1,2,"['{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
161,1327.tif,1,0,0,"['{\n  ""ecDNA"": 3\n}', '{\n  ""count"": 1\n}', '{\n  ""ecDNA"": 2\n}']"
162,1328.tif,2,0,2,"['{\n""ecDNA"": 2\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n""ecDNA"": 0\n}']"
163,1329.tif,0,24,15,"['{\n  ""ecDNA_count"": 10\n}', '{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}']"
164,133.tif,0,18,26,"['{\n  ""ecDNA"": 5\n}', '{\n  ""ecDNA"": 1\n}', '{\n  ""ecDNA"": 0\n}']"
165,1330.tif,0,19,19,"['{\n  ""ecDNA"": 5\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
166,1332.tif,4,0,2,"['{\n""ecDNA"": 0\n}', '{\n  ""count"": 2\n}', '{""ecDNA"": 3}']"
167,1333.tif,6,19,15,"['{\n  ""ecDNA"": 5\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
168,1334.tif,0,5,7,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
169,1336.tif,5,1,0,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA_count"": 2\n}']"
170,1337.tif,2,0,4,"['{\n  ""ecDNA"": 5\n}', '{\n  ""ecDNA"": 0\n}', '{""ecDNA"": 0}']"
171,134.tif,0,15,20,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA_count"": 3\n}', '{\n  ""ecDNA"": 1\n}']"
172,1341.tif,1,0,0,"['{\n  ""ecDNA_count"": 2\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
173,1342.tif,1,0,0,"['{\n  ""ecDNA"": 5\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA_count"": 2\n}']"
174,1345.tif,2,0,3,"['{""ecDNA_count"": 1}', '{\n  ""ecDNA_count"": 3\n}', '{\n""ecDNA"": 3\n}']"
175,1346.tif,1,0,0,"['{\n  ""ecDNA"": 0\n}', '{\n  ""count"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
176,1349.tif,0,24,20,"['{""ecDNA"": 2}', '{\n  ""ecDNA"": 3\n}', '{\n""ecDNA_count"": 0\n}']"
177,135.tif,0,8,24,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA_count"": 2\n}', '{\n  ""ecDNA"": 0\n}']"
178,1350.tif,0,17,33,"['{\n  ""ecDNA_count"": 1\n}', '{\n  ""count"": 3\n}', '{\n  ""ecDNA"": 2\n}']"
179,1352.tif,6,0,5,"['{""ecDNA_count"": 2}', '{\n  ""count"": 2\n}', '{\n""ecDNA"": 0\n}']"
180,1353.tif,0,22,22,"['{\n  ""ecDNA_count"": 3\n}', '{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 3\n}']"
181,1354.tif,0,18,23,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 2\n}', '{""ecDNA"": 3}']"
182,1369.tif,2,23,11,"['{\n""ecDNA"": 3\n}', '{\n  ""count"": 3\n}', '{\n  ""ecDNA"": 0\n}']"
183,137.tif,0,1,3,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA_count"": 3\n}']"
184,1370.tif,0,3,1,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
185,1373.tif,0,35,14,"['{\n  ""ecDNA_count"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 2\n}']"
186,1374.tif,0,16,6,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n""ecDNA"": 0\n}']"
