,image,num_nuclei,num_chromosomes,num_ecDNA,agg_results
35,1070.tif,1,4,4,"['{\n    ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 5\n}', '{\n  ""ecDNA"": 1\n}', '{\n  ""ecDNA"": 4\n}']"
36,1073.tif,0,17,1,"['{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 4\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
37,1074.tif,5,21,0,"['{\n  ""ecDNA"": 2\n}', '```json\n{\n  ""ecDNA"": 0\n}\n```', '{\n    ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 5\n}']"
38,108.tif,0,2,47,"['{\n""ecDNA"": 123\n}', '{\n""ecDNA"": 1\n}', '{\n  ""ecDNA"": 1\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
39,1086.tif,0,2,0,"['{\n""ecDNA"": 4\n}', '```json\n[\n  {\n    ""ecDNA"": 3\n  }\n]\n```', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n    ""ecDNA"": 2\n}']"
40,1088.tif,1,1,0,"['{\n""ecDNA"": 2\n}', '{""ecDNA"": 2}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}', '{""ecDNA"": 3}']"
41,1089.tif,0,16,3,"['{\n  ""ecDNA"": 0\n}', '```json\n[\n    {\n        ""ecDNA"": 12\n    }\n]\n```', '{\n  ""ecDNA"": 5\n}', '{""ecDNA"":3}', '{\n  ""ecDNA"": 3\n}']"
42,109.tif,0,10,62,"['{\n  ""ecDNA"": 5\n}', '{\n  ""ecDNA"": 0\n}', '{""ecDNA"": 3}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 2\n}']"
43,1090.tif,0,25,7,"['{""ecDNA"": 3}', '{\n  ""ecDNA"": 0\n}', '{""ecDNA"": 2}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
44,1092.tif,1,1,0,"['{\n""ecDNA"": 0\n}', '{\n  ""ecDNA"": 2\n}', '```json\n[\n  {\n    ""ecDNA"": [\n      {\n        ""x"": 280,\n        ""y"": 465,\n        ""width"": 347,\n        ""height"": 149\n      }\n    ]\n  }\n]\n```', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 10\n}']"
45,1093.tif,0,13,14,"['{\n    ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 10,\n  ""nuclei"": 23,\n  ""chromosomes"": 17\n}', '{\n  ""ecDNA"": {\n    ""count"": 3\n  }\n}', '```json\n[\n  {\n    ""ecDNA"": 0\n  }\n]\n```', '{""ecDNA"": 2}']"
46,1094.tif,0,11,17,"['{\n  ""ecDNA"": 3\n}', '{\n    ""ecDNA"": 3\n}', '{""ecDNA"": 1}', '{""ecDNA"": 3}', '{\n    ""ecDNA"": 3\n}']"
47,11.tif,2,0,0,"['{\n""ecDNA"": 4\n}', '{\n  ""ecDNA"": 100\n}', '{\n""ecDNA"": 2\n}', '{\n    ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}']"
48,110.tif,0,8,57,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n    ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}']"
49,1100.tif,1,0,0,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": {\n    ""count"": 0\n  }\n}', '```json\n{\n  ""ecDNA"": 0\n}\n```', '{""ecDNA"": 2}', '{\n""ecDNA"": 0\n}']"
50,1101.tif,3,0,0,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 4\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n""ecDNA"": 0\n}']"
51,1102.tif,2,0,0,"['{\n  ""ecDNA"": 3\n}', '{""ecDNA"":1}', '{\n""ecDNA"": 3\n}', '{\n    ""ecDNA"": 3\n}', '{\n    ""ecDNA"": 3\n}']"
52,1103.tif,2,0,0,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA_count"": 123\n}', '{""ecDNA"": 2}', '{\n    ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 3\n}']"
53,1105.tif,1,0,0,"['{\n  ""ecDNA"": {\n    ""count"": 0\n  }\n}', '{\n  ""ecDNA"": 0\n}', '{\n""ecDNA"": 5\n}', '{\n    ""ecDNA"": 3\n}', '{\n""ecDNA"": 3\n}']"
54,1106.tif,2,0,2,"['{\n    ""ecDNA"": 3\n}', '{""ecDNA"": 5}', '{\n  ""ecDNA"": 4\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 2\n}']"
55,1109.tif,0,12,3,"['{\n  ""ecDNA"": 1000\n}', '{""ecDNA"": 4}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}', '{\n""ecDNA"": 0\n}']"
56,111.tif,0,2,26,"['{\n    ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}', '{""ecDNA_count"":2}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}']"
57,1110.tif,1,15,7,"['{\n""ecDNA"": 5\n}', '{\n  ""ecDNA"": 0\n}', '```json\n{\n  ""ecDNA"": 10\n}\n```', '{\n  ""ecDNA"": 0\n}', '{""ecDNA"": 3}']"
58,1111.tif,0,2,4,"['{\n""ecDNA"": 0\n}', '```json\n[1]\n```', '{\n  ""ecDNA"": 3\n}', '{""ecDNA"": 0}', '{\n""ecDNA"": 0\n}']"
59,1113.tif,0,8,10,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}', '{\n""ecDNA"": 3\n}', '{\n  ""ecDNA"": 2\n}', '{\n    ""ecDNA"": 3\n}']"
60,1114.tif,0,25,15,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA_count"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{""ecDNA"": 0}']"
61,1115.tif,0,6,11,"['{\n""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}']"
62,1116.tif,1,0,0,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": {\n    ""count"": 1\n  }\n}', '{""ecDNA"": 0}']"
63,1117.tif,1,0,0,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 4\n}', '{\n""ecDNA"": 3\n}']"
64,112.tif,0,19,82,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}', '{\n    ""ecDNA"": 10\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}']"
65,1125.tif,2,0,0,"['{\n  ""ecDNA"": 0\n}', '{\n""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}', '{\n""ecDNA"": 3\n}']"
66,1129.tif,2,7,1,"['{\n  ""ecDNA"": 3\n}', '```json\n[""5""]\n```', '```json\n[{""ecDNA"": 2}]\n```', '{\n  ""ecDNA"": 2\n}', '{\n""ecDNA"": 2\n}']"
67,113.tif,0,21,92,"['{\n  ""ecDNA"": 0\n}', '```json\n{\n  ""ecDNA"": 2\n}\n```', '{\n    ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}', '{\n    ""ecDNA"": 3\n}']"
68,1130.tif,1,16,3,"['{\n  ""ecDNA"": 1\n}', '{\n  ""ecDNA"": 3\n}', '{\n""ecDNA"": 0\n}', '{\n""ecDNA"": 0\n}', '{\n  ""ecDNA"": 100\n}']"
69,1131.tif,1,1,0,"['{\n  ""ecDNA"": 3\n}', '{\n""ecDNA"": 0\n}', '{\n    ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n""ecDNA"": 0\n}']"
70,1133.tif,0,11,0,"['{""ecDNA"": 0}', '{\n  ""ecDNA"": {\n    ""count"": 3\n  }\n}', '{\n  ""ecDNA"": 4\n}', '{""ecDNA"": 4}', '{\n  ""ecDNA"": 0\n}']"
71,1134.tif,0,30,8,"['{""ecDNA"":2}', '{\n  ""ecDNA"": 3\n}', '{\n    ""ecDNA"": 1\n}', '{\n""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
72,1135.tif,0,5,0,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}', '{""ecDNA_count"":2}', '{\n  ""ecDNA"": 10\n}', '{""ecDNA"": 1}']"
73,1136.tif,1,0,0,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 5\n}', '{\n  ""ecDNA"": 20\n}', '{""ecDNA"": 2}', '{\n  ""ecDNA"": 5\n}']"
74,114.tif,0,15,68,"['{\n  ""ecDNA"": 0\n}', '{\n    ""ecDNA"": 5\n}', '{\n    ""ecDNA"": 3\n}', '{""ecDNA"":2}', '{\n  ""ecDNA"": 5\n}']"
75,1142.tif,1,0,0,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n""ecDNA"": {\n    ""count"": 20\n}', '{\n  ""ecDNA"": 10\n}', '{\n""ecDNA"": 3\n}']"
76,1143.tif,2,0,0,"['{\n""ecDNA"": 3\n}', '{""ecDNA"": 2}', '{\n  ""ecDNA"": 3\n}', '{""ecDNA"": 2}', '{\n  ""ecDNA"": 4\n}']"
77,1146.tif,0,0,0,"['{\n  ""ecDNA"": 2\n}', '{\n""ecDNA"": 3\n}', '{\n""ecDNA"": 2\n}', '{\n  ""ecDNA"": 3\n}', '{\n""ecDNA"": 3\n}']"
78,1147.tif,1,0,0,"['{\n    ""ecDNA"": 0\n}', '```json\n[3]\n```', '{\n    ""ecDNA"": 2\n}', '{\n  ""ecDNA"": 0\n}', '{""ecDNA"": 3}']"
79,1149.tif,0,1,0,"['{\n  ""ecDNA"": 2\n}', '{""ecDNA"": 3}', '{""ecDNA"": 3}', '{\n""ecDNA"": 0\n}', '{\n    ""ecDNA"": 3\n}']"
80,115.tif,0,5,23,"['{\n""ecDNA"": 5\n}', '{\n""ecDNA"": 0\n}', '{\n""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 1\n}']"
81,1150.tif,0,47,3,"['{\n  ""ecDNA"": {\n    ""count"": 3,\n    ""description"": ""Circular structures in cell images""\n  }\n}', '```json\n{\n  ""ecDNA"": 3\n}\n```', '{\n""ecDNA"": 3\n}', '{\n  ""ecDNA"": {\n    ""value"": 0,\n    ""count"": 0\n  }\n}', '```json\n{\n  ""ecDNA"": 1\n}\n```']"
82,1151.tif,0,2,3,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}', '{\n""ecDNA"": 3\n}', '{\n""ecDNA"": 0\n}']"
83,1153.tif,1,0,0,"['{\n  ""ecDNA"": 25\n}', '{\n""ecDNA"": 0\n}', '{\n  ""ecDNA"": 5\n}', '{\n    ""ecDNA"": {\n        ""count"": 3\n    }\n}', '{\n  ""ecDNA"": 3\n}']"
84,1154.tif,1,13,3,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 5\n}', '{\n  ""ecDNA"": 5\n}', '{\n  ""ecDNA"": 2\n}']"
85,1158.tif,1,0,2,"['{\n  ""ecDNA"": {\n    ""count"": 1,\n    ""coordinates"": [\n      {\n        ""x"": 0.32,\n        ""y"": 0.32\n      }\n    ]\n  }\n}', '{\n  ""ecDNA"": 45000\n}', '{\n""ecDNA"": {\n""count"": 0\n}\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": {\n    ""count"": 0\n  }\n}']"
86,1159.tif,1,0,0,"['{\n    ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n    ""ecDNA"": 0\n}', '```json\n[""3""]\n```', '{\n""ecDNA"": 20\n}']"
87,116.tif,0,6,32,"['{\n  ""ecDNA"": {\n    ""count"": 0\n  }\n}', '{""ecDNA"":2}', '{\n  ""ecDNA"": 4\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
88,1161.tif,1,0,1,"['{\n  ""ecDNA"": {\n    ""count"": 0\n  }\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n    ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}']"
89,1162.tif,1,0,0,"['{""ecDNA"": 5}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}']"
90,1169.tif,0,11,22,"['```json\n{\n  ""ecDNA"": 1\n}\n```', '{\n""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}', '{\n    ""ecDNA"": 2\n}']"
91,117.tif,0,8,33,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}', '```json\n[\n    {\n        ""ecDNA"": 0\n    }\n]\n```', '{\n  ""ecDNA"": 20\n}', '{\n    ""ecDNA"": 3\n}']"
92,1170.tif,0,13,20,"['{\n  ""ecDNA"": 1\n}', '{\n    ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}', '{\n    ""ecDNA_count"": 1\n}', '{""ecDNA"": 3}']"
93,1173.tif,0,14,15,"['```json\n[10]\n```', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}', '{""ecDNA"": 5}', '{\n  ""ecDNA"": 0\n}']"
94,1174.tif,0,19,27,"['{\n  ""ecDNA"": 3\n}', '{""ecDNA"": 3}', '{\n    ""ecDNA"": 2\n}', '{""ecDNA"": 3}', '{\n  ""ecDNA"": 2\n}']"
95,1179.tif,1,0,0,"['{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 1\n}', '{\n""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '```json\n[1]\n```']"
96,118.tif,0,3,72,"['{\n  ""ecDNA"": 3\n}', '```json\n{\n  ""ecDNA"": 2\n}\n```', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 2\n}']"
97,1180.tif,1,0,0,"['{\n  ""ecDNA"": 2\n}', '```json\n[2]\n```', '{\n    ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 10\n}', '{\n  ""ecDNA"": 3\n}']"
98,1181.tif,1,0,0,"['{\n  ""ecDNA"": 5\n}', '{\n  ""ecDNA"": 3\n}', '{\n    ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}']"
99,1188.tif,3,0,12,"['{\n  ""ecDNA"": 2\n}', '{\n""ecDNA"": 0\n}', '{\n""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{""ecDNA"": 3}']"
100,1189.tif,1,3,10,"['{\n    ""ecDNA"": 0\n}', '{\n    ""ecDNA"": 5\n}', '{\n  ""ecDNA_count"": 3\n}', '{""ecDNA"": 2}', '{\n    ""ecDNA"": 3\n}']"
101,119.tif,15,0,2,"['{""ecDNA_count"":3}', '{\n""ecDNA"": 3\n}', '{\n  ""ecDNA"": 2\n}', '{\n  ""ecDNA_count"": 1\n}', '{\n""ecDNA"": 3\n}']"
102,1190.tif,0,9,12,"['{\n    ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}']"
103,1192.tif,1,0,8,"['{\n  ""ecDNA"": 0\n}', '```json\n{\n  ""ecDNA"": 0\n}\n```', '{\n  ""ecDNA"": 25\n}', '{\n""ecDNA"": {\n""count"": 3\n}\n}', '{\n    ""ecDNA"": 4\n}']"
104,1193.tif,1,8,37,"['```json\n[1]\n```', '{\n  ""ecDNA"": 3\n}', '{\n""ecDNA"": {\n""count"": 3\n}\n}', '```json\n[\n    {\n        ""ecDNA"": 3\n    }\n]\n```', '{\n  ""ecDNA"": 3\n}']"
105,1194.tif,0,20,35,"['{""ecDNA"": 2}', '{\n  ""ecDNA"": 1000\n}', '{\n""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}']"
106,1197.tif,1,0,24,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{""ecDNA"": 3}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}']"
107,1198.tif,1,1,26,"['{""ecDNA"": 3}', '{\n  ""ecDNA"": 4\n}', '{\n  ""ecDNA"": 0\n}', '{\n""ecDNA"": 0\n}', '```json\n{\n  ""ecDNA"": 4\n}\n```']"
108,12.tif,1,2,3,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{""ecDNA"": 3}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
109,1209.tif,0,8,0,"['{\n  ""ecDNA_count"": 2\n}', '{\n""ecDNA"": 2\n}', '{\n  ""ecDNA"": {\n    ""value"": 5,\n    ""count"": 5\n  }\n}', '{\n    ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}']"
110,1210.tif,0,28,4,"['{""ecDNA"":1}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 4\n}', '{\n  ""ecDNA"": 0\n}']"
111,1213.tif,0,8,1,"['{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n    ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 5\n}', '{\n  ""ecDNA"": 3\n}']"
112,1214.tif,0,36,9,"['{\n""ecDNA"": 1\n}', '{\n  ""ecDNA"": 0\n}', '{""ecDNA"": 5}', '```json\n[\n  {\n    ""ecDNA"": 4\n  }\n]\n```', '{\n  ""ecDNA"": 2\n}']"
113,1225.tif,0,2,0,"['{\n  ""ecDNA_count"": 5\n}', '```json\n[\n    5\n]\n```', '{\n""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 0\n}']"
114,1226.tif,1,4,2,"['{\n    ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 1\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}', '{\n  ""ecDNA"": 1\n}']"
115,1227.tif,0,1,0,"['{\n""ecDNA"": 0\n}', '{\n  ""ecDNA"": 3\n}', '{\n  ""ecDNA_count"": 0\n}', '{\n  ""ecDNA"": 10\n}', '{\n  ""ecDNA"": 3\n}']"
116,1228.tif,0,2,0,"['{\n  ""ecDNA"": 5\n}', '```json\n{\n  ""ecDNA"": 3\n}\n```', '{\n  ""ecDNA"": 3\n}', '{\n""ecDNA"": 3\n}', '{\n  ""ecDNA"": 0\n}']"
117,1229.tif,0,27,2,"['{""ecDNA"": 4}', '{""ecDNA"": 0}', '{\n""ecDNA"": 1\n}', '{\n  ""ecDNA"": 0\n}', '{\n""ecDNA"": 2\n}']"
