,image,num_nuclei,num_chromosomes,num_ecDNA,output
148,1303.tif,1,0,1,[2]
149,1304.tif,3,0,1,[2]
150,1305.tif,1,4,23,[8]
151,1306.tif,1,0,6,[]
152,1308.tif,1,0,7,"{""ecDNA_count"":2}"
153,1309.tif,1,8,16,[4]
154,131.tif,0,5,17,"{
  ""count"": 3
}"
155,1310.tif,0,11,20,1
156,1313.tif,0,20,20,{'ecDNA': 2}
157,1314.tif,0,16,19,"{""ecDNA count"":3}"
158,1320.tif,1,0,2,{'count': 1}
159,1325.tif,0,3,4,"{""ecDNA"": 3}"
160,1326.tif,1,1,2,[3]
161,1327.tif,1,0,0,[]
162,1328.tif,2,0,2,[1]
163,1329.tif,0,24,15,"{""ecDNA_count"":1}"
164,133.tif,0,18,26,"{""ecDNA"": 4}"
165,1330.tif,0,19,19,[5]
166,1332.tif,4,0,2,[3]
167,1333.tif,6,19,15,[0]
168,1334.tif,0,5,7,"{
  ""ecDNA"": 6
}"
169,1336.tif,5,1,0,[6]
170,1337.tif,2,0,4,{'ecDNA': 4}
171,134.tif,0,15,20,3
172,1341.tif,1,0,0,[1]
173,1342.tif,1,0,0,"{""count"": 10}"
174,1345.tif,2,0,3,"{
  ""ecDNA"": 10
}"
175,1346.tif,1,0,0,0
176,1349.tif,0,24,20,"{""ecDNA"": 3}"
177,135.tif,0,8,24,"{""ecDNA_count"": 3}"
178,1350.tif,0,17,33,"{
  ""ecDNA"": {
    ""total_count"": 6,
    ""percent"": 0.06428513668580297
  }
}"
179,1352.tif,6,0,5,2
180,1353.tif,0,22,22,[4]
181,1354.tif,0,18,23,[2]
182,1369.tif,2,23,11,"{
  ""count"": 56
}"
183,137.tif,0,1,3,0
184,1370.tif,0,3,1,{'count': '3'}
185,1373.tif,0,35,14,"{""ecDNA"":5}"
186,1374.tif,0,16,6,{'count': 3}
187,1376.tif,1,0,0,[2]
188,1377.tif,1,0,0,"{
  ""ecDNA"": 3
}"
189,138.tif,0,3,7,The cell image contains 0 ecDNA.
190,1380.tif,1,0,0,4
191,1381.tif,1,0,0,[10]
192,1389.tif,0,30,5,[1]
193,1390.tif,0,21,11,"{""ecDNA"": 0}"
194,1393.tif,0,15,6,"{""count"": 7}"
195,1394.tif,0,15,9,2
196,14.tif,0,8,0,"{""ecDNA"": 4}"
197,1405.tif,0,7,12,"{""ecDNA count"": 8}"
198,1406.tif,0,8,7,"[{""ecDNA"":3}]"
199,1408.tif,0,1,12,{'count': '2'}
200,1409.tif,0,18,11,"{""ecDNA"": 3}"
201,1410.tif,0,23,17,[10]
202,1411.tif,0,7,4,{'ecDNA': 3}
203,1413.tif,0,14,10,1
204,1414.tif,0,13,19,"```json
{
  ""count"": 3
}
```"
205,1415.tif,0,3,2,{'ecDNA': 0}
206,1425.tif,0,8,2,"```json
{""ecDNA"": 4}
```"
207,1426.tif,0,3,4,"{ ""ecDNA"": 3 }"
208,1428.tif,0,2,2,[2]
209,1429.tif,0,29,47,"{ ""ecDNA"": 4 }"
210,1430.tif,0,23,36,"{""ecDNA"":1}"
211,1433.tif,0,10,13,[2]
212,1434.tif,0,8,14,"{""ecDNA_count"":3}"
213,1444.tif,0,1,0,5
214,1445.tif,0,2,0,"{
""ecDNA"": 5
}"
215,1446.tif,0,1,1,[6]
216,1448.tif,0,6,0,3
217,1449.tif,0,16,4,3
218,145.tif,0,10,30,[5]
219,1450.tif,0,32,5,"{
""ecDNA"": 2,
""total_count"": 3,
""percentage"": 66.67,
""positive_cells"": 0,
""negative_cells"": 2,
""count_ratio"": 0
}"
220,1451.tif,0,9,1,{'count': 1}
221,1453.tif,0,13,1,"{""count"":5}"
222,1454.tif,0,11,1,"{
""ecDNA"": 5
}"
223,146.tif,0,6,26,"{""ecDNA"": 2}"
224,1460.tif,1,0,0,"{""count"": 1}"
225,1465.tif,0,8,5,"{""ecDNA"":4}"
226,1468.tif,0,15,3,[1]
227,1469.tif,0,30,18,[6]
228,1470.tif,0,11,11,"{""ecDNA"":5}"
229,1473.tif,0,16,15,"{
  ""count"": 2,
  ""location"": {
    ""x"": 0.5478369999999999,
    ""y"": 0.4695416666666667,
    ""width"": 0.007483333333333333,
    ""height"": 0.02783666666666667
  }
}"
230,1474.tif,0,6,15,[5]
231,148.tif,0,6,30,[3]
232,1480.tif,1,0,0,"{""ecDNA"": 2}"
233,1484.tif,1,0,0,"{""ecDNA_count"": 2}"
234,1485.tif,0,2,8,"{
""ecDNA"": 3
}"
235,1489.tif,0,35,55,[1]
236,149.tif,0,30,81,[0]
237,1490.tif,0,14,18,{'count': 4}
238,1492.tif,0,1,0,{'count': 3}
239,1493.tif,0,28,22,[2]
240,1494.tif,0,13,10,"{""ecDNA"": 4}"
241,15.tif,5,2,1,[8]
242,150.tif,0,15,61,[6]
243,1508.tif,1,1,2,"{""ecDNA"": 4}"
244,1509.tif,0,8,13,3
245,151.tif,0,7,37,[3]
246,1512.tif,0,13,19,"{ ""ecDNA"": 5 }"
247,1513.tif,0,44,33,[2]
248,1514.tif,0,5,15,{'ecDNA_count': 4}
249,152.tif,0,9,29,[1]
250,153.tif,0,17,55,"{""ecDNA"": 4}"
251,1532.tif,1,0,3,5
252,1533.tif,1,0,14,"{
  ""count"": 3
}"
253,1534.tif,0,12,32,[2]
254,1536.tif,1,0,0,1
255,1537.tif,0,13,21,"{
  ""count"": 4
}"
256,1538.tif,16,16,25,[]
257,154.tif,0,20,62,{'ecDNA': 6}
258,1543.tif,1,0,0,"{
  ""value"": 2,
  ""unit"": ""per 1000 cells""
}"
259,1549.tif,0,11,13,"{ ""count"":3 }"
260,155.tif,0,7,13,"{""ecDNA"":3}"
261,1550.tif,0,7,14,[5]
262,1552.tif,0,2,1,0
263,1553.tif,0,34,45,"{""ecDNA"": 3}"
264,1554.tif,0,29,32,"{
  ""ecDNA"": 10
}"
265,1557.tif,0,5,9,{'count': 3}
266,1558.tif,0,8,6,"{""ecDNA"":4}"
267,1562.tif,1,0,0,[5]
268,1569.tif,0,14,28,"{
""ecDNA"": 4
}"
269,157.tif,0,3,28,[8]
270,1570.tif,0,8,16,[0]
271,1573.tif,0,21,42,[3]
272,1574.tif,0,9,11,5
273,1588.tif,0,2,0,{'count': 4}
274,1589.tif,0,25,14,[5]
275,1590.tif,0,23,18,"{ ""ecDNA"": 3 }"
276,1592.tif,0,6,1,0
277,1593.tif,0,31,18,[4]
278,1594.tif,1,22,24,{'ecDNA': 6}
279,1595.tif,15,0,5,[3]
280,1597.tif,0,1,4,"```json
{
  ""count"": 20
}
```"
281,1598.tif,1,3,0,"{""ecDNA_count"":3}"
282,1599.tif,1,0,0,[1]
283,16.tif,4,8,6,"{""ecDNA"": 3}"
284,1605.tif,0,3,0,"{""ecDNA"":1}"
285,1606.tif,0,3,0,{'ecDNA': 1}
286,1609.tif,0,40,11,[2]
287,1610.tif,0,20,1,[1]
288,1613.tif,0,15,1,[5]
289,1614.tif,0,17,2,{'ecDNA': '5'}
290,162.tif,0,2,2,[5]
291,1626.tif,1,0,2,[1]
292,1627.tif,2,0,0,[3]
293,1628.tif,2,0,0,"{
  ""count"": 5
}"
294,1629.tif,0,28,42,"{ ""count"": 3 }"
295,1630.tif,1,23,22,0
296,1631.tif,1,0,1,"{ ""ecDNA"": 3 }"
297,1633.tif,0,27,32,2
298,1634.tif,0,22,31,{'count': '10'}
299,1637.tif,0,7,10,5
300,1638.tif,0,3,2,5
301,1645.tif,0,2,2,[2]
302,1648.tif,0,2,1,"{""ecDNA"":6}"
303,1649.tif,0,56,14,0
304,165.tif,0,7,18,{'ecDNA': 3}
305,1650.tif,0,11,1,[]
306,1653.tif,0,11,6,[3]
307,166.tif,0,27,65,{'count': 4}
308,1661.tif,1,2,0,{'count': 1}
309,1662.tif,2,2,0,"{
    ""count"": 5
}"
310,1665.tif,1,0,0,"{""ecDNA"": 4}"
311,1666.tif,3,1,1,[3]
312,1669.tif,0,19,13,There are 3 ecDNA in the image.
313,167.tif,0,30,42,[3]
314,1670.tif,1,41,36,"{""ecDNA"":3}"
315,1671.tif,4,15,11,[1]
316,1673.tif,0,6,10,[6]
317,1674.tif,1,24,13,"{""ecDNA_count"":3}"
318,1675.tif,1,2,0,{'value': 3}
319,168.tif,0,16,7,"{""ecDNA"": 1}"
320,1681.tif,0,3,0,{'count': 4}
321,1686.tif,0,5,1,[3]
322,1689.tif,1,3,1,[1]
323,169.tif,0,23,24,[4]
324,1690.tif,0,36,7,[3]
325,1691.tif,0,8,2,5
326,1693.tif,1,0,0,"{""ecDNA"": 13}"
327,1694.tif,0,15,11,[6]
328,1695.tif,0,15,3,[2]
329,17.tif,1,0,0,"{""ecDNA_count"":3}"
330,170.tif,0,18,49,"{
  ""count"": 6
}"
331,1705.tif,0,2,0,[0]
332,1706.tif,0,2,1,[3]
333,1709.tif,0,18,3,[2]
334,171.tif,2,11,11,{'ecDNA': '3'}
335,1710.tif,0,32,5,{'count': 10}
336,1711.tif,0,1,2,{'count': 1}
337,1713.tif,0,12,5,2
338,1714.tif,0,12,5,[4]
339,172.tif,0,6,6,[10]
340,1720.tif,2,1,0,"{""ecDNA"": 2}"
341,1721.tif,1,0,0,"{ ""count"": 4 }"
342,1722.tif,0,3,6,{'ecDNA_count': 3}
343,1724.tif,2,0,2,"{""ecDNA"":1}"
344,1725.tif,1,1,3,[2]
345,1726.tif,1,7,1,{'ecDNA': 2}
346,1727.tif,1,1,2,[10]
347,1728.tif,1,0,0,[3]
348,1729.tif,3,17,9,[3]
349,173.tif,0,35,29,[10]
350,1730.tif,0,41,16,0
351,1731.tif,0,4,10,[4]
352,1732.tif,1,5,7,"{
  ""count"": 6
}"
353,1733.tif,2,1,1,[1]
354,1734.tif,1,15,5,3
355,1735.tif,0,2,11,[1]
356,1736.tif,1,0,0,5
357,1737.tif,3,0,0,"{
  ""ecDNA"": 3
}"
358,1738.tif,1,0,1,[6]
359,1739.tif,0,1,9,"{""ecDNA"":4}"
360,174.tif,1,11,25,"{""ecDNA"":1}"
361,1740.tif,1,0,2,[]
362,1744.tif,1,0,0,[6]
363,1745.tif,1,0,3,"{""ecDNA"": 3}"
364,1749.tif,1,12,3,"{""ecDNA_count"":3}"
365,175.tif,1,0,0,{'count': 5}
366,1750.tif,0,38,24,[6]
367,1751.tif,0,4,1,[3]
368,1753.tif,0,5,5,{'count': 1}
369,1754.tif,0,26,12,[3]
370,1755.tif,5,10,12,[3]
371,1758.tif,1,1,1,"{""ecDNA"": 4}"
372,1759.tif,2,0,3,"{""ecDNA"": 1}"
373,1760.tif,1,0,0,"{'ecDNA': [{'ecDNA': 3, 'position': {'x': 7, 'y': 9}}, {'ecDNA': 4, 'position': {'x': 15, 'y': 8}}], 'count': 2}"
374,1764.tif,1,0,0,{'ecDNA': {'count': 8}}
375,1765.tif,1,0,0,[1]
376,1766.tif,1,0,0,{'ecDNA': 5}
377,1768.tif,3,0,0,"{
  ""count"": 3
}"
378,1769.tif,2,5,2,"{
""ecDNA"": 3
}"
379,1770.tif,1,51,26,{'ecDNA': 1}
380,1771.tif,2,2,2,[5]
381,1772.tif,2,0,0,3
382,1773.tif,1,4,0,[6]
383,1774.tif,0,42,12,"{ ""ecDNA"": 6 }"
384,1775.tif,1,0,0,[8]
385,1776.tif,1,0,0,[4]
386,1779.tif,1,0,0,[1]
387,1785.tif,0,2,1,"{""ecDNA count"": 4}"
388,1786.tif,0,4,7,1
389,1789.tif,0,30,8,"{""ecDNA"":5}"
390,1790.tif,2,22,32,The image contains 3 ecDNA.
391,1791.tif,1,0,0,"{
  ""count"": 3,
  ""size"": 30,
  ""percentage"": 58.94740115266265
}"
392,1793.tif,0,15,5,"{""ecDNA"":3}"
393,1794.tif,0,17,5,[4]
394,1796.tif,1,0,1,[0]
395,1797.tif,1,0,0,"{
  ""count"": 3
}"
396,18.tif,3,0,0,4
397,1809.tif,0,36,18,1
398,1810.tif,0,28,17,[3]
399,1813.tif,0,16,5,4
400,1814.tif,0,7,14,"{""ecDNA"": 3}"
401,1822.tif,1,5,7,2
402,1823.tif,1,0,0,0.385
403,1825.tif,1,0,0,5
404,1826.tif,0,6,2,"{""ecDNA"": 3}"
405,1827.tif,0,3,0,[4]
406,1829.tif,1,17,3,[6]
407,1830.tif,0,26,4,"{""ecDNA"": 10}"
408,1831.tif,1,0,2,[10]
409,1833.tif,0,19,2,[1]
410,1834.tif,0,17,0,[5]
411,1835.tif,1,0,0,[3]
412,1836.tif,2,0,3,[0.08]
413,1837.tif,1,1,0,{'ecDNA': 3}
414,1840.tif,1,0,0,[3]
415,1841.tif,1,1,0,5
416,1845.tif,0,10,2,"{ ""ecDNA"": 4 }"
417,1846.tif,0,7,4,0
418,1848.tif,0,1,1,{'count': 5}
419,1849.tif,0,27,11,"{ ""ecDNA"": 3 }"
420,185.tif,0,9,26,[1]
421,1850.tif,0,30,9,[0.065]
422,1853.tif,0,7,5,"{
""ecDNA"": 2
}"
423,1854.tif,0,7,8,[4]
424,1858.tif,1,0,0,2
425,186.tif,0,11,30,4
426,1865.tif,0,5,8,"{
    ""count"": 3
}"
427,1868.tif,0,7,1,"{""ecDNA"": 3}"
428,1869.tif,0,30,21,[]
429,187.tif,1,0,2,"```json
{
  ""ecDNA"": 4
}
```"
430,1870.tif,0,14,14,"{ ""ecDNA"": 4 }"
431,1872.tif,0,4,1,"{
  ""count"": 2
}"
432,1873.tif,0,14,5,{'count': 3}
433,1874.tif,0,7,5,5
434,1875.tif,1,0,1,[]
435,1877.tif,1,0,0,0
436,1879.tif,1,0,1,"{ ""ecDNA"": 5 }"
437,188.tif,0,18,40,"{""count"":5}"
438,1886.tif,0,3,0,"{""ecDNA"": 4}"
439,1888.tif,1,0,0,There are approximately 3000 ecDNA in the image.
440,1889.tif,0,8,5,{'count': 3}
441,189.tif,0,25,96,"{""ecDNA"": ""1""}"
442,1890.tif,0,30,0,[1]
443,1891.tif,0,6,1,"{ ""ecDNA"": 5 }"
444,1893.tif,0,9,2,[3]
445,1894.tif,1,17,1,[4]
446,1895.tif,1,1,0,{'count': '4'}
447,1898.tif,2,0,0,[1]
448,1899.tif,2,0,0,[6]
449,19.tif,5,0,0,"{""count"":3}"
450,190.tif,0,28,88,The image contains 25 ecDNA.
451,1901.tif,1,0,0,"{
    ""count"": 3
}"
452,1902.tif,1,0,0,[]
453,1909.tif,0,23,6,"{ ""ecDNA"": 4 }"
454,191.tif,1,4,33,[3]
455,1910.tif,0,20,12,"{
  ""count"": 3
}"
456,1911.tif,0,0,0,"{""ecDNA"":3}"
457,1913.tif,0,19,14,{'count': 5}
458,1914.tif,0,35,10,[4]
459,1915.tif,1,0,0,"{
  ""ecDNA"": 3
}"
460,1919.tif,1,0,0,[1]
461,192.tif,0,34,56,1
462,1922.tif,1,0,0,There are 3 ecDNA molecules present in the image.
463,1923.tif,1,0,0,"{ ""ecDNA"": 3 }"
464,1927.tif,1,0,0,"{""ecDNA"":3}"
465,1929.tif,0,31,5,[3]
466,193.tif,0,22,117,"{""ecDNA"": 3}"
467,1930.tif,10,42,5,[1]
468,1933.tif,0,10,3,{'count': 8}
469,1934.tif,0,14,1,"{
  ""count"": 3
}"
470,194.tif,0,37,103,"{""ecDNA"": 4}"
471,1949.tif,0,11,9,"{""ecDNA"": 4}"
472,195.tif,0,40,63,{'count': 3}
473,1950.tif,0,28,17,{'count': 2}
474,1951.tif,3,0,0,"{
  ""ecDNA"": 4
}"
475,1953.tif,0,0,5,{'count': '3'}
476,1954.tif,0,10,7,[6]
477,1955.tif,1,0,0,1
478,196.tif,0,11,21,[3]
479,1969.tif,0,15,14,{'ecDNA': 3}
480,197.tif,0,19,56,{'count': 4}
481,1970.tif,0,14,8,2
482,1973.tif,0,20,5,{'count': 4}
483,1974.tif,0,23,10,There are 3 ecDNA in the image.
484,198.tif,0,38,89,"There are several green dots in the image, indicating multiple ecDNA molecules."
485,1982.tif,1,0,0,[3]
486,1983.tif,2,0,2,[1]
487,1985.tif,1,0,2,1
488,1986.tif,1,0,3,1
489,1987.tif,2,0,1,[]
490,1988.tif,1,1,2,[2]
491,199.tif,0,17,42,5
492,1990.tif,0,29,14,[2]
493,1991.tif,0,12,4,[2]
494,1992.tif,1,0,2,"{""ecDNA"": 2}"
495,1994.tif,0,12,8,[3]
496,1995.tif,0,8,3,[5]
497,2.tif,4,0,0,"{""count"":1}"
498,2006.tif,0,3,2,0
499,2009.tif,0,25,24,2
500,201.tif,1,1,1,0
501,2010.tif,0,34,62,"{
  ""count"": 2
}"
502,2013.tif,0,7,8,"{""ecDNA"": ""3""}"
503,2014.tif,0,15,25,[1]
504,202.tif,1,0,0,[]
505,2021.tif,1,0,0,[11]
506,2022.tif,2,1,6,"{
  ""ecDNA"": 3
}"
507,2029.tif,0,5,7,2
508,203.tif,1,0,0,"{""ecDNA"":3}"
509,2030.tif,0,23,18,0
510,2031.tif,1,0,1,1
511,2033.tif,0,6,1,"{ ""ecDNA"": 3 }"
512,2034.tif,0,40,12,{'ecDNA': 4}
513,2035.tif,1,1,2,{'number': 5}
514,2040.tif,1,0,0,"{ ""ecDNA"": 4 }"
515,2041.tif,3,0,0,[0]
516,2042.tif,3,0,0,[]
517,2045.tif,1,0,0,[]
518,2046.tif,2,0,5,1
519,2047.tif,2,0,0,2
520,2049.tif,0,16,24,{'ecDNA': 2}
521,205.tif,2,4,1,[2]
522,2050.tif,0,36,51,"{""ecDNA count"":1}"
523,2051.tif,1,3,9,[3]
524,2053.tif,0,8,20,"{ ""ecDNA"": 5 }"
525,2054.tif,1,19,55,"{""ecDNA_count"":4}"
526,2055.tif,1,1,3,[]
527,206.tif,1,2,14,0
528,2063.tif,1,0,0,{'ecDNA': 3}
529,2065.tif,0,12,5,{'ecDNA': 4}
530,2068.tif,0,3,1,"```json
[3]
```"
531,2069.tif,0,44,26,[3]
532,207.tif,1,1,4,[6]
533,2070.tif,0,5,1,[10]
534,2072.tif,0,1,0,{'ecDNA': 5}
535,2073.tif,0,9,5,[4]
536,208.tif,0,11,25,1
537,2089.tif,1,5,0,5
538,209.tif,0,38,68,{'ecDNA': 4}
539,2090.tif,1,1,1,"{""ecDNA_count"":3}"
540,2093.tif,0,20,5,"{""ecDNA"":3}"
541,2094.tif,0,7,5,{'count': 5}
542,210.tif,0,18,80,"{""ecDNA"": [{""blue"":2, ""green"":1}]}"
543,2102.tif,1,0,0,2
544,2103.tif,1,0,0,[408]
545,2105.tif,1,0,0,[1]
546,2106.tif,1,10,12,"{""ecDNA"":4}"
547,2108.tif,1,1,4,The image contains two ecDNA in green color.
548,2109.tif,0,49,68,[0]
549,211.tif,0,11,34,5
550,2110.tif,0,25,32,"There are multiple ecDNA in the image, not just one."
551,2112.tif,2,0,3,{'count': 3}
552,2113.tif,0,5,7,{'ecDNA': 4}
553,2114.tif,0,2,4,5
554,2118.tif,1,0,0,"{""ecDNA"": 4}"
555,2119.tif,1,0,0,[3]
556,212.tif,0,11,22,"{""ecDNA"":3}"
557,2126.tif,1,0,5,"{
  ""ecDNA"": 3
}"
558,2127.tif,1,0,1,[4]
559,2129.tif,0,29,23,1
560,213.tif,0,23,32,[4]
561,2130.tif,8,2,14,There are 3 ecDNA in the image.
562,2131.tif,1,0,1,"{""count"":5}"
563,2133.tif,0,19,15,"{""ecDNA"": 1}"
564,2134.tif,2,9,18,{'count': 3}
565,2135.tif,2,0,4,[3]
566,2138.tif,1,0,1,"[{""value"":6}]"
567,2139.tif,1,0,0,[5]
568,214.tif,0,77,72,[2]
569,2144.tif,3,3,0,"{
  ""ecDNA"": 3
}"
570,2148.tif,6,0,6,[8]
571,2149.tif,0,10,3,[0]
572,215.tif,0,21,63,[4]
573,2150.tif,0,16,9,[5]
574,2151.tif,0,6,4,[6]
575,2153.tif,0,5,9,5
576,2154.tif,0,32,15,"{""ecDNA"":5}"
577,2155.tif,0,20,9,[1]
578,2157.tif,0,13,7,[4]
579,2161.tif,1,0,0,[0]
580,2165.tif,2,2,4,{'ecDNA_count': 4}
581,2169.tif,1,1,12,[2]
582,2170.tif,0,35,7,2
583,2171.tif,3,0,4,5
584,2174.tif,0,3,0,[0.05]
585,2175.tif,7,1,3,"{ ""ecDNA"": 0 }"
586,2178.tif,1,0,0,The image shows a total of 4 ecDNA.
587,2179.tif,1,1,0,[0]
588,218.tif,1,3,6,2
589,2188.tif,0,2,1,[2]
590,2189.tif,0,25,29,"{""count"": 3}"
591,2190.tif,0,4,10,{'count': 3}
592,2191.tif,0,1,2,{'ecDNA': 5}
593,2192.tif,0,1,1,[0]
594,2193.tif,0,13,12,"{""ecDNA"": 3}"
595,2194.tif,0,5,7,5
