Context,Question,Temperature,Method,Image_Path,Output,Actual
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1161.png,False,1
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1162.png,False,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1169.png,True,22
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,117.png,False,33
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1170.png,True,20
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1173.png,True,15
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1174.png,False,27
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1179.png,False,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,118.png,True,72
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1180.png,False,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1181.png,False,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1188.png,False,12
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1189.png,False,10
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,119.png,False,2
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1190.png,True,12
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1192.png,False,8
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1193.png,False,37
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1194.png,True,34
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1197.png,True,24
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1198.png,False,26
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,12.png,False,3
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1209.png,True,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1210.png,False,4
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1213.png,True,1
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1214.png,True,9
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1225.png,False,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1226.png,False,2
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1227.png,False,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1228.png,True,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1229.png,False,2
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1230.png,True,1
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1233.png,True,4
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1234.png,False,4
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1235.png,False,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1239.png,False,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1248.png,True,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1249.png,True,8
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1250.png,False,3
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1253.png,True,8
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1254.png,False,5
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1261.png,True,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1262.png,False,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1266.png,False,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1267.png,False,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1269.png,False,11
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1270.png,True,13
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1271.png,False,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1273.png,True,15
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1274.png,True,6
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1289.png,False,12
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,129.png,False,20
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1290.png,True,20
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1293.png,False,13
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1294.png,True,15
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1297.png,False,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,13.png,True,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,130.png,False,34
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1300.png,False,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1301.png,False,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1302.png,True,1
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1303.png,False,1
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1304.png,False,1
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1305.png,True,23
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1306.png,False,6
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1308.png,False,7
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1309.png,True,16
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,131.png,False,17
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1310.png,False,20
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1313.png,False,20
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1314.png,False,19
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1320.png,False,2
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1325.png,False,4
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1326.png,False,2
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1327.png,False,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1328.png,False,2
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1329.png,True,15
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,133.png,True,26
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1330.png,False,19
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1332.png,False,2
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1333.png,False,15
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1334.png,True,7
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1336.png,False,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1337.png,False,4
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,134.png,False,20
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1341.png,True,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1342.png,False,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1345.png,False,3
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1346.png,False,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1349.png,True,20
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,135.png,True,24
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1350.png,True,32
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1352.png,False,5
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1353.png,True,22
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1354.png,True,23
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1369.png,False,11
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,137.png,False,3
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1370.png,False,1
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1373.png,True,14
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1374.png,True,6
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1376.png,False,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1377.png,False,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,138.png,False,7
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1380.png,True,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1381.png,False,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1389.png,False,5
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1390.png,False,11
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1393.png,True,6
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1394.png,False,9
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,14.png,False,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1405.png,True,12
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1406.png,True,7
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1408.png,True,12
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1409.png,False,11
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1410.png,False,17
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1411.png,False,4
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1413.png,True,10
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1414.png,True,19
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1415.png,False,2
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1425.png,False,2
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1426.png,True,4
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1428.png,False,2
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1429.png,True,47
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1430.png,True,36
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1433.png,False,13
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1434.png,True,14
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1444.png,False,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1445.png,True,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1446.png,True,1
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1448.png,True,0
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1449.png,False,4
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,145.png,False,30
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1450.png,False,5
ecDNA is usually smaller than chromosomes or nuclei,Identify the prescence of ecDNA. Return your answer as True or False only,0.7,None,1451.png,True,1
